District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
499,MAHARASHTRA,Jalgaon,4229917,2891882,482462,735730,532587,627198,375643,229987,31008,3014615,1003050,4017665
500,MAHARASHTRA,Buldana,2586258,1879874,315408,457067,400342,406379,228266,113783,19619,1940864,600436,2541300
501,MAHARASHTRA,Akola,1813906,1411281,231841,328367,275264,291391,205723,112574,15157,1460317,352687,1813004
502,MAHARASHTRA,Washim,1197160,869917,166509,238985,160331,162762,116032,47865,7294,899778,291525,1191303
503,MAHARASHTRA,Amravati,2888445,2251875,326195,468853,463051,525116,346876,203273,16148,2349512,478074,2827586
504,MAHARASHTRA,Wardha,1300774,1019458,140470,186781,201471,225208,158055,93772,7017,1012774,212054,1224828
505,MAHARASHTRA,Nagpur,4653570,3673808,325084,666693,812381,790443,542228,493236,73475,3703540,601547,4305087
506,MAHARASHTRA,Bhandara,1200334,899860,115150,187870,208902,204435,153749,67061,12452,949619,235524,1185143
507,MAHARASHTRA,Gondiya,1322507,1004243,138457,237888,231153,225595,159570,57923,9620,1060206,256549,1316755
508,MAHARASHTRA,Gadchiroli,1072942,708365,108850,145767,139482,140345,95911,35809,4154,670318,360229,1030547
509,MAHARASHTRA,Chandrapur,2204307,1578615,243773,316192,337320,351610,241179,126488,15040,1631602,516728,2148330
510,MAHARASHTRA,Yavatmal,2772348,2022574,391944,562739,382001,389924,245819,123074,21889,2117390,718204,2835594
511,MAHARASHTRA,Nanded,3361292,2189425,416869,691348,368723,416761,255650,156225,21729,2327305,884626,3211931
512,MAHARASHTRA,Hingoli,1177345,790743,175736,266649,127246,136075,74544,38698,5932,824880,331388,1156268
513,MAHARASHTRA,Parbhani,1836086,1157814,229217,396713,204316,229103,116041,81333,9703,1266426,552643,1819069
514,MAHARASHTRA,Jalna,1959046,1195523,271061,422207,218189,225331,120715,64060,9724,1331287,545980,1877267
515,MAHARASHTRA,Aurangabad,3701282,2503837,381695,686271,422964,537936,310762,253253,19101,2611982,819734,3431716
516,MAHARASHTRA,Nashik,6107187,4345366,544346,1038955,851714,830070,485052,373100,97219,4220456,1481778,5702234
517,MAHARASHTRA,Thane,11060148,8227161,712171,1530916,1588196,1751284,1080597,961719,114453,7739336,1692022,9431358
518,MAHARASHTRA,Mumbai Suburban,9356962,7575485,512268,1140066,1628031,1914168,1091433,1183117,189063,7658146,1111093,8769239
519,MAHARASHTRA,Mumbai,3085411,2509022,118967,399792,603937,665263,378764,343374,57044,2567141,262312,2829453
520,MAHARASHTRA,Raigarh,2634200,1939994,231263,407662,335886,441072,221410,204507,19940,1861740,482420,2344160
521,MAHARASHTRA,Pune,9429408,7171723,559840,1234549,1383055,1414563,867256,1086650,190336,6736249,1353077,8089326
522,MAHARASHTRA,Ahmadnagar,4543159,3151890,483996,833691,580959,745895,411908,315842,32304,3404595,1061271,4465866
523,MAHARASHTRA,Bid,2585049,1718507,309704,436446,280800,316758,206530,129996,11438,1691672,821607,2513279
524,MAHARASHTRA,Latur,2454196,1650672,268627,423711,296910,380344,224998,153256,18106,1765952,596213,2362165
525,MAHARASHTRA,Osmanabad,1657576,1137810,183972,300965,201646,260772,139479,96847,9913,1193594,440363,1633957
526,MAHARASHTRA,Solapur,4317756,2910676,390337,788150,535848,643327,328020,236302,29051,2951035,976795,3927830
527,MAHARASHTRA,Satara,3003741,2225694,288427,495822,407977,556706,299993,243457,20884,2313266,545423,2858689
528,MAHARASHTRA,Ratnagiri,1615069,1199392,163025,378554,269872,247257,111600,65700,15429,1251437,319622,1571059
529,MAHARASHTRA,Sindhudurg,849651,666067,86480,165284,134734,175070,89023,48418,3451,702460,121922,824382
530,MAHARASHTRA,Kolhapur,3876001,2825845,321457,622362,487227,698604,395234,335413,40828,2901125,778000,3679125
531,MAHARASHTRA,Sangli,2822143,2049467,208511,507318,459156,453404,244804,214003,36983,2124179,579039,2703218
532,ANDHRA PRADESH,Adilabad,2741239,1483347,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632
533,ANDHRA PRADESH,Nizamabad,2551335,1389810,269487,421399,338668,396396,223365,141850,13382,1804547,1041862,2846409
534,ANDHRA PRADESH,Karimnagar,3776269,2206829,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953
535,ANDHRA PRADESH,Medak,3033288,1637137,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398
536,ANDHRA PRADESH,Hyderabad,3943323,2892155,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623
537,ANDHRA PRADESH,Rangareddy,5296741,3538028,457916,756588,809283,821821,598940,740896,57436,4242880,1158473,5401353
538,ANDHRA PRADESH,Mahbubnagar,4053028,1940646,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423
539,ANDHRA PRADESH,Nalgonda,3488809,2001019,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506
540,ANDHRA PRADESH,Warangal,3512576,2065023,314252,457529,454322,430242,279234,248942,27663,2212184,1191252,3403436
541,ANDHRA PRADESH,Khammam,2797370,1630234,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504
542,ANDHRA PRADESH,Srikakulam,2703114,1495381,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869
543,ANDHRA PRADESH,Vizianagaram,2344474,1238388,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006
544,ANDHRA PRADESH,Visakhapatnam,4290589,2568249,414636,568178,649271,541942,329770,289734,44164,2837695,1418851,4256546
545,ANDHRA PRADESH,East Godavari,5154296,3288577,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222
546,ANDHRA PRADESH,West Godavari,3936966,2652389,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609
547,ANDHRA PRADESH,Krishna,4517398,3009718,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927
548,ANDHRA PRADESH,Guntur,4887813,2960441,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615
549,ANDHRA PRADESH,Prakasam,3397448,1904435,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253
551,ANDHRA PRADESH,Y.S.R.,2882469,1716766,408650,509166,413364,258798,140145,116330,16231,1862684,893657,2756341
552,ANDHRA PRADESH,Kurnool,4053463,2127161,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218
553,ANDHRA PRADESH,Anantapur,4081148,2310960,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998
554,ANDHRA PRADESH,Chittoor,4174064,2667878,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948
555,KARNATAKA,Belgaum,4779661,3052032,544564,1057297,609600,532584,279583,201884,56621,3282133,1346776,4628909
556,KARNATAKA,Bagalkot,1889752,1113412,242336,385986,147397,171505,115095,82319,25791,1170429,608843,1779272
557,KARNATAKA,Bijapur,2177331,1248268,246391,430477,143199,182756,129109,96990,24569,1253491,746979,2000470
558,KARNATAKA,Bidar,1703300,1042673,188998,474921,194233,181076,105347,54900,12885,1212360,515395,1727755
559,KARNATAKA,Raichur,1928812,979769,147743,385673,163709,153346,82082,50463,14622,997638,783126,1780764
560,KARNATAKA,Koppal,1389920,809085,222140,357098,127605,113028,72243,43967,10431,946512,472182,1418694
561,KARNATAKA,Gadag,1064570,700177,121615,244640,112703,105150,63816,42053,12822,702799,306138,1008937
562,KARNATAKA,Dharwad,1847023,1301664,252596,383041,185530,227113,143453,137768,34302,1363803,428556,1792359
563,KARNATAKA,Uttara Kannada,1437169,1081906,198632,338390,183534,210270,108521,94767,22876,1156990,277857,1434847
564,KARNATAKA,Haveri,1597668,1085443,240925,430529,201965,158442,84357,55310,16830,1188358,383494,1571852
565,KARNATAKA,Bellary,2452595,1421621,275785,529576,219702,203139,121453,89475,29367,1468497,787762,2256259
566,KARNATAKA,Chitradurga,1659456,1087392,188329,332648,196470,217567,132435,75262,22078,1164789,452975,1617764
567,KARNATAKA,Davanagere,1945497,1308540,242130,446793,206686,269748,154781,123863,32375,1476376,467414,1943790
568,KARNATAKA,Shimoga,1752753,1263016,191641,385978,292481,251095,132138,111753,18036,1383122,355222,1738344
569,KARNATAKA,Udupi,1177361,926429,142493,286193,176260,178094,109663,107279,18444,1018426,204028,1222454
570,KARNATAKA,Chikmagalur,1137961,818345,114570,257550,160083,177585,96470,72420,12631,891309,204371,1095680
571,KARNATAKA,Tumkur,2678980,1813391,270373,500593,386998,423738,213588,143735,30687,1969712,686274,2655986
572,KARNATAKA,Bangalore,9621551,7512276,599794,1509693,1629870,2018079,1196965,1733274,198399,8886074,1304048,10190122
573,KARNATAKA,Mandya,1805769,1149649,145178,309476,226552,308624,157839,102838,19987,1270494,504734,1775228
574,KARNATAKA,Hassan,1776421,1225256,182255,354480,232531,292369,147837,103152,27774,1340398,401227,1741625
575,KARNATAKA,Dakshina Kannada,2089649,1666323,191317,520715,296110,309141,178989,185916,36295,1718483,298846,2017329
576,KARNATAKA,Kodagu,554519,412877,51287,111562,75291,86232,54939,43225,8251,430787,91352,522139
577,KARNATAKA,Mysore,3001127,1962180,207091,537686,404565,452412,222230,212541,26834,2063359,747237,2810596
578,KARNATAKA,Chamarajanagar,1020791,565279,82487,204765,132421,109361,57053,34799,9600,630486,401643,1032129
579,KARNATAKA,Gulbarga,2566326,1427368,177860,579057,270622,290570,153746,104256,20492,1596603,883704,2480307
580,KARNATAKA,Yadgir,1174271,510003,98481,204926,77942,73599,40104,27728,4634,527414,579042,1106456
581,KARNATAKA,Kolar,1536401,1016219,138015,289841,228422,225498,107929,71422,17961,1079088,399089,1478177
582,KARNATAKA,Chikkaballapura,1255104,783222,100059,219778,193549,187040,80928,55056,6631,843041,380402,1223443
583,KARNATAKA,Bangalore Rural,990923,688749,100770,168165,126285,166677,82235,51015,10741,705888,205062,910950
584,KARNATAKA,Ramanagara,1082636,674758,98447,187673,119218,155358,77233,46318,8802,693049,324721,1017770
585,GOA,North Goa,818008,663060,40968,101521,148792,153887,87513,86781,16601,636063,99538,735601
586,GOA,South Goa,640537,502427,29874,73039,119869,108989,64786,57460,9579,463596,88577,552173
587,LAKSHADWEEP,Lakshadweep,64473,52553,5641,13391,13836,13997,6642,3491,1059,58057,5953,64010
588,KERALA,Kasaragod,1307375,1037492,115476,268084,230416,238900,122657,76192,16585,1068310,212905,1281215
589,KERALA,Kannur,2523003,2138434,204713,487016,491844,540383,308670,217203,40277,2290106,279352,2569458
590,KERALA,Wayanad,817420,645585,65326,144896,137227,184266,87042,51111,8786,678654,131211,809865
591,KERALA,Kozhikode,3086293,2615443,247996,564392,647221,630818,351267,250117,53166,2744977,335520,3080497
592,KERALA,Malappuram,4112920,3311315,415601,770417,814285,933793,392867,203779,41344,3572086,622345,4194431
593,KERALA,Palakkad,2809934,2239492,249198,492864,608176,572412,232109,180540,36370,2371669,439934,2811603
594,KERALA,Thrissur,3121200,2678548,222627,445696,524387,821831,362657,338600,71535,2787333,307665,3094998
595,KERALA,Ernakulam,3282388,2855676,212263,446380,554817,702511,389793,429880,113133,2848777,268315,3117092
596,KERALA,Idukki,1108974,923010,79149,166604,209398,261237,136428,86136,19252,958204,126589,1084793
597,KERALA,Kottayam,1974551,1749798,117681,271496,373998,475724,280720,221350,52339,1793308,134393,1927701
598,KERALA,Alappuzha,2127789,1852797,133039,334339,418953,573306,274789,198858,58096,1991380,163991,2155371
599,KERALA,Pathanamthitta,1197412,1062553,64054,146138,202197,371128,172884,123549,32477,1112427,71053,1183480
600,KERALA,Kollam,2635375,2240273,172247,406592,562529,595191,307950,233402,64052,2341963,231286,2573249
601,KERALA,Thiruvananthapuram,3301427,2785408,206328,460690,642470,682156,389161,381782,76129,2838716,309042,3147758
602,TAMIL NADU,Thiruvallur,3728104,2791721,181452,461918,600731,622789,303091,451321,66378,2687680,610048,3297728
603,TAMIL NADU,Chennai,4646732,3776276,167207,516445,720331,801050,464207,905515,67277,3642032,419065,4061097
604,TAMIL NADU,Kancheepuram,3998252,3013382,183054,535947,608188,634172,312208,526886,67354,2867809,678374,3546183
605,TAMIL NADU,Vellore,3936331,2773928,191963,721473,719731,641585,311434,308514,71127,2965827,891430,3857257
606,TAMIL NADU,Tiruvannamalai,2464875,1626813,203879,442688,423135,343955,174560,158041,36454,1782712,672427,2455139
607,TAMIL NADU,Viluppuram,3458873,2195776,202930,646306,549742,508930,246856,229726,45680,2430170,999902,3430072
608,TAMIL NADU,Salem,3482056,2285562,188672,571061,518763,457866,242306,296399,60365,2335432,955045,3290477
609,TAMIL NADU,Namakkal,1726601,1176131,123573,297179,247516,214836,126468,169206,21582,1200360,388418,1588778
610,TAMIL NADU,Erode,2251744,1492662,175017,345914,319484,269016,155344,215514,30391,1510680,608003,2118683
611,TAMIL NADU,The Nilgiris,735394,569647,47555,122821,130678,133569,76132,69657,8328,588740,114497,703237
612,TAMIL NADU,Dindigul,2159775,1481834,207751,386421,372636,282628,153100,163050,29443,1595029,480681,2075710
613,TAMIL NADU,Karur,1064493,727044,76629,190229,167466,146666,77874,85595,14951,759410,276930,1036340
614,TAMIL NADU,Tiruchirappalli,2722290,2038981,229415,444023,447474,418930,223178,291506,70392,2124918,401149,2526067
615,TAMIL NADU,Perambalur,565223,375823,85210,106751,85101,71650,41447,44025,9189,443373,109011,552384
616,TAMIL NADU,Ariyalur,754894,480604,60697,134123,113437,96860,53934,57524,16126,532701,233438,766139
617,TAMIL NADU,Cuddalore,2605914,1815281,169844,412237,418769,386652,186394,227530,67411,1868837,634041,2502878
618,TAMIL NADU,Nagapattinam,1616450,1213008,136593,323359,313357,249630,122350,125639,35762,1306690,253572,1560262
619,TAMIL NADU,Thiruvarur,1264277,946471,138960,250163,243773,203450,103908,99082,28166,1067502,175564,1243066
620,TAMIL NADU,Thanjavur,2405890,1790998,138375,431983,419605,373111,178126,222410,49261,1812871,461123,2273994
621,TAMIL NADU,Pudukkottai,1618345,1110545,97231,283299,270046,251855,121706,111731,31315,1167183,447346,1614529
622,TAMIL NADU,Sivaganga,1339101,959744,101778,216931,236700,199263,103903,115894,23941,998410,311112,1309522
623,TAMIL NADU,Madurai,3038252,2273430,234611,525151,532616,453509,250285,363152,39350,2398674,449125,2847799
624,TAMIL NADU,Theni,1245899,870080,90590,219747,213496,156676,95231,101147,14674,891561,270738,1162299
625,TAMIL NADU,Virudhunagar,1942288,1398788,163264,398670,317054,230321,138306,167506,35156,1450277,403246,1853523
626,TAMIL NADU,Ramanathapuram,1353445,978946,246909,293886,236511,189132,105978,97405,16785,1186606,107292,1293898
627,TAMIL NADU,Thoothukkudi,1750176,1349697,153922,372036,315817,227154,133010,155613,31525,1389077,265032,1654109
628,TAMIL NADU,Tirunelveli,3077233,2273457,263517,618656,517646,390495,220088,247635,71437,2329474,621010,2950484
629,TAMIL NADU,Kanniyakumari,1870374,1548738,134236,331559,314029,322511,226312,254107,43034,1625788,210901,1836689
630,TAMIL NADU,Dharmapuri,1506843,917709,129778,240222,221194,177877,103367,112592,26069,1011099,512824,1523923
631,TAMIL NADU,Krishnagiri,1879809,1187958,135813,290351,289026,276694,133744,137081,24128,1286837,578724,1865561
632,TAMIL NADU,Coimbatore,3458045,2635907,220388,466745,523563,526165,273098,440520,53709,2504188,519919,3024107
633,TAMIL NADU,Tiruppur,2479052,1760566,192583,444390,369432,298635,170870,179733,21436,1677079,552447,2229526
634,PONDICHERRY,Yanam,55626,39274,3804,10954,8806,8044,4101,3836,1315,40860,14923,55783
635,PONDICHERRY,PONDICHERRY,950289,726649,61364,127754,150478,152482,81519,134067,17367,725031,146861,871892
636,PONDICHERRY,Mahe,41816,36470,2948,6043,7930,8773,5711,4475,978,36858,2993,39851
637,PONDICHERRY,Karaikal,200222,154916,18943,32899,33458,29456,15930,18998,4877,154561,32717,187278
