District_code,State_name,District_name,Population,Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,983110,251669,352835,230640,161282,164763,69522,3021,1233732,520215,1753947
138,UTTAR PRADESH,Meerut,3443689,2141488,412280,495861,469403,359944,254337,275076,36096,2302997,990312,3293309
139,UTTAR PRADESH,Baghpat,1303048,797970,139646,272939,215070,132197,79475,44164,3730,887221,376700,1263921
140,UTTAR PRADESH,Ghaziabad,4681645,3123264,534606,858286,797473,597661,475439,255949,26399,3545813,885070,4430883
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,1122947,201277,330623,283031,218587,194796,101645,5058,1335017,342284,1677301
142,UTTAR PRADESH,Bulandshahr,3499171,2031656,443641,540754,475146,338138,217882,151182,17796,2184539,1185318,3369857
143,UTTAR PRADESH,Aligarh,3673889,2092567,456870,491605,443958,334738,216997,172585,20498,2137251,1352181,3489432
144,UTTAR PRADESH,Mahamaya Nagar,1564708,942572,181444,297282,269717,166861,89435,49812,5386,1059937,430814,1490751
145,UTTAR PRADESH,Mathura,2547184,1507746,303291,420976,344961,233264,155937,103102,10262,1571793,691359,2263152
146,UTTAR PRADESH,Agra,4418797,2680510,600839,904836,647340,450571,317618,199395,20781,3141380,963202,4104582
147,UTTAR PRADESH,Firozabad,2498156,1521806,324525,416295,368905,277163,166249,108627,11313,1673077,672115,2345192
148,UTTAR PRADESH,Mainpuri,1868529,1203885,234774,353287,319158,230731,144516,111696,12281,1406443,519493,1925936
149,UTTAR PRADESH,Budaun,3681896,1547477,556130,585283,295943,154425,86760,64222,7291,1750054,1946345,3696399
150,UTTAR PRADESH,Bareilly,4448359,2191759,717585,641251,442110,272840,172554,146446,16806,2409592,1744527,4154119
151,UTTAR PRADESH,Pilibhit,2031007,1061095,294135,281158,240057,117838,77602,66129,9713,1086632,977839,2064471
152,UTTAR PRADESH,Shahjahanpur,3006538,1490930,451571,476064,315873,158430,96308,87355,8885,1594486,1324615,2919101
153,UTTAR PRADESH,Kheri,4021243,2034044,717340,621684,442748,223669,129627,128548,10846,2274462,1833578,4108040
154,UTTAR PRADESH,Sitapur,4483992,2283733,714304,656401,482220,221898,136383,127750,8775,2347731,2141696,4489427
155,UTTAR PRADESH,Hardoi,4092845,2221601,741817,906861,510507,247265,138583,103523,9048,2657604,1481604,4139208
156,UTTAR PRADESH,Unnao,3108367,1773584,501457,512965,415378,240024,136688,101934,7173,1915619,1130103,3045722
157,UTTAR PRADESH,Lucknow,4589838,3127260,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,4241505
158,UTTAR PRADESH,Rae Bareli,3405559,1965843,540661,538301,477689,270775,182823,153041,15662,2178952,1286726,3465678
159,UTTAR PRADESH,Farrukhabad,1885204,1092677,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1987999
160,UTTAR PRADESH,Kannauj,1656616,1017087,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1713786
161,UTTAR PRADESH,Etawah,1581810,1062003,171216,292852,298700,195192,121283,118571,13400,1211214,397708,1608922
162,UTTAR PRADESH,Auraiya,1379545,930836,133123,291837,282449,168866,101542,79012,6531,1063360,276224,1339584
163,UTTAR PRADESH,Kanpur Dehat,1796184,1170243,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1881584
164,UTTAR PRADESH,Kanpur Nagar,4581268,3243022,338620,766906,794860,651228,515772,396565,26827,3490778,676306,4167084
165,UTTAR PRADESH,Jalaun,1689974,1075196,169207,327534,282919,167911,104699,106888,10399,1169557,461666,1631223
166,UTTAR PRADESH,Jhansi,1998603,1304513,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1770672
167,UTTAR PRADESH,Lalitpur,1221592,641191,185575,202692,154118,61543,32237,34658,3535,674358,509536,1183894
168,UTTAR PRADESH,Hamirpur,1104285,653299,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768
169,UTTAR PRADESH,Mahoba,875958,488106,119002,141201,131165,60400,33810,37165,3926,526669,403649,930318
170,UTTAR PRADESH,Banda,1799410,1002937,325773,415195,249238,114783,61702,63112,5728,1235531,588025,1823556
171,UTTAR PRADESH,Chitrakoot,991730,531072,168472,174106,124256,69641,40266,35826,3660,616227,383908,1000135
172,UTTAR PRADESH,Fatehpur,2632733,1512166,409875,463642,376472,227119,134445,116445,10212,1738210,895178,2633388
173,UTTAR PRADESH,Pratapgarh,3209141,1931559,427626,558350,456752,332742,238011,197846,20047,2231374,1059636,3291010
174,UTTAR PRADESH,Kaushambi,1599596,813424,184229,253910,180825,146757,89011,45341,5115,905188,670750,1575938
175,UTTAR PRADESH,Allahabad,5954391,3665727,823863,934881,738076,596615,502826,428871,36764,4061896,1756098,5817994
176,UTTAR PRADESH,Bara Banki,3260699,1692458,533140,420824,350564,197780,132332,113799,12281,1760720,1540841,3301561
177,UTTAR PRADESH,Faizabad,2470996,1450901,356093,361114,347114,231129,176303,179996,18947,1670696,981915,2652611
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1486939,342667,392873,353570,247028,172872,194387,15458,1718855,813502,2532357
179,UTTAR PRADESH,Sultanpur,3797117,2239902,460210,637015,526973,306046,188848,176414,15277,2310783,1118891,3429674
180,UTTAR PRADESH,Bahraich,3487731,1398368,447648,493760,215939,104762,65106,47690,7028,1381933,1920966,3302899
181,UTTAR PRADESH,Shrawasti,1117361,423313,155698,97160,56242,29567,19744,15648,1535,375594,701550,1077144
182,UTTAR PRADESH,Balrampur,2148665,868357,379253,227932,122911,65516,40633,37109,2777,876131,1332817,2208948
183,UTTAR PRADESH,Gonda,3433919,1679994,678171,425584,305644,192664,144067,118176,8722,1873028,1620782,3493810
