State_name,District_name,Literate,Female_Literate,Male_Literate,Population,Graduate_Education,Illiterate_Education
ASSAM,Jorhat,794929,362594,432335,1092256,62608,209170
ASSAM,Golaghat,721764,325289,396475,1066888,36887,258897
ASSAM,Karbi Anglong,557214,242961,314253,956313,18225,310093
ASSAM,Dima Hasao,140873,62314,78559,214102,5565,57631
ASSAM,Cachar,1174128,534182,639946,1736617,45341,357907
ASSAM,Karimganj,795297,359355,435942,1228686,21408,303785
ASSAM,Hailakandi,407366,180530,226836,659296,11608,173306
ASSAM,Bongaigaon,434078,196964,237114,738804,20221,260721
ASSAM,Chirang,259902,114033,145869,482162,6594,172939
ASSAM,Kamrup,995319,445100,550219,1517542,55011,392678
ASSAM,Kamrup Metropolitan,1001191,463964,537227,1253938,167972,128773
ASSAM,Nalbari,531771,238587,293184,771639,39368,188960
ASSAM,Baksa,572837,250223,322614,950075,15422,294784
ASSAM,Darrang,487039,218373,268666,928500,22267,375556
ASSAM,Udalguri,469926,205600,264326,831668,14001,306833
WEST BENGAL,Darjiling,1315585,597912,717673,1846823,110193,415353
WEST BENGAL,Jalpaiguri,2498780,1102158,1396622,3872846,129393,1203423
WEST BENGAL,Koch Bihar,1850504,821771,1028733,2819086,81100,873135
WEST BENGAL,Uttar Dinajpur,1489667,636172,853495,3007134,59457,1431264
WEST BENGAL,Dakshin Dinajpur,1083685,487211,596474,1676276,52345,534394
WEST BENGAL,Maldah,2086432,934413,1152019,3988845,92207,1960034
WEST BENGAL,Murshidabad,4055834,1878647,2177187,7103807,170051,3031841
WEST BENGAL,Birbhum,2158447,956966,1201481,3502404,115743,1346802
WEST BENGAL,Barddhaman,5247208,2329168,2918040,7717563,439823,2196886
WEST BENGAL,Nadia,3480555,1601689,1878866,5167600,209562,1570127
WEST BENGAL,North Twenty Four Parganas,7608693,3552647,4056046,10009781,852923,1901634
WEST BENGAL,Hugli,4078388,1866611,2211777,5519145,380060,1180806
WEST BENGAL,Bankura,2232992,933655,1299337,3596674,133465,1417787
WEST BENGAL,Puruliya,1624905,622847,1002058,2930115,77621,1272799
WEST BENGAL,Haora,3605206,1662382,1942824,4850029,304594,926661
WEST BENGAL,Kolkata,3588137,1661222,1926915,4496694,691804,410988
WEST BENGAL,South Twenty Four Parganas,5531657,2488380,3043277,8161961,322157,2184508
WEST BENGAL,Paschim Medinipur,4078412,1811499,2266913,5913457,211437,1689984
WEST BENGAL,Purba Medinipur,3923194,1774121,2149073,5095875,184225,1021541
JHARKHAND,Garhwa,653476,248315,405161,1322784,28144,557852
JHARKHAND,Chatra,510061,206159,303902,1042886,21697,467975
JHARKHAND,Kodarma,390249,151469,238780,716259,20907,297992
JHARKHAND,Giridih,1253475,469739,783736,2445474,55122,1047685
JHARKHAND,Deoghar,793538,303701,489837,1492073,43979,635544
JHARKHAND,Godda,604519,228307,376212,1313551,30870,653464
JHARKHAND,Sahibganj,483263,195960,287303,1150567,19832,637296
JHARKHAND,Pakur,352881,145892,206989,900422,9822,548434
JHARKHAND,Dhanbad,1722204,707254,1014950,2684487,107382,662522
JHARKHAND,Bokaro,1273520,514432,759088,2062330,116396,595924
JHARKHAND,Lohardaga,259707,110139,149568,461790,13847,188323
JHARKHAND,Purbi Singhbhum,1507699,651173,856526,2293919,157688,525916
JHARKHAND,Palamu,1024563,402857,621706,1939869,63595,803424
JHARKHAND,Latehar,350682,140976,209706,726978,13956,349277
JHARKHAND,Hazaribagh,1013249,417136,596113,1734495,79898,613774
JHARKHAND,Ramgarh,596497,246466,350031,949443,47207,292062
JHARKHAND,Dumka,672409,266134,406275,1321442,25593,601078
JHARKHAND,Jamtara,426312,168052,258260,791042,14802,366012
JHARKHAND,Ranchi,1911433,826189,1085244,2914253,195181,613855
JHARKHAND,Khunti,284575,119834,164741,531885,10130,177856
JHARKHAND,Gumla,559720,237925,321795,1025213,23742,322119
JHARKHAND,Simdega,343483,151492,191991,599578,13674,191341
JHARKHAND,Pashchimi Singhbhum,727561,288288,439273,1502338,10743,279016
JHARKHAND,Saraikela-Kharsawan,612993,247661,365332,1065056,29840,228943
ORISSA,Bargarh,983783,426566,557217,1481255,49238,442733
ORISSA,Jharsuguda,405879,177787,228092,579505,22010,143508
ORISSA,Sambalpur,703691,310499,393192,1041099,45828,282248
ORISSA,Debagarh,197819,85170,112649,312520,9041,108811
ORISSA,Sundargarh,1342322,592175,750147,2093437,94710,660465
ORISSA,Kendujhar,1052518,447399,605119,1801733,57762,700661
ORISSA,Mayurbhanj,1369397,575226,794171,2519738,72847,1094844
ORISSA,Baleshwar,1621232,718873,902359,2320529,105962,628627
ORISSA,Bhadrak,1094140,497871,596269,1506337,67536,323145
ORISSA,Kendrapara,1089265,509295,579970,1440361,75926,294723
ORISSA,Jagatsinghapur,889027,407978,481049,1136971,70602,209984
ORISSA,Cuttack,2011469,908436,1103033,2624470,181601,472182
ORISSA,Jajapur,1290455,584059,706396,1827192,87623,460953
ORISSA,Dhenkanal,829910,365817,464093,1192811,43064,341887
ORISSA,Anugul,869456,375031,494425,1273821,45588,347851
ORISSA,Nayagarh,688362,296029,392333,962789,33148,232558
ORISSA,Khordha,1749936,792421,957515,2251673,247498,371244
ORISSA,Puri,1291939,587082,704857,1698730,87000,309790
ORISSA,Ganjam,2210050,947398,1262652,3529031,97147,1055331
ORISSA,Gajapati,262537,108874,153663,577817,12556,335821
ORISSA,Kandhamal,399786,165886,233900,733110,14962,287948
ORISSA,Baudh,271612,112964,158648,441162,8124,146392
ORISSA,Subarnapur,398421,168028,230393,610183,16745,167244
ORISSA,Balangir,927260,381588,545672,1648997,42401,721389
ORISSA,Nuapada,299383,118480,180903,610382,10131,316086
ORISSA,Kalahandi,802036,317859,484177,1576869,27385,765368
ORISSA,Rayagada,407735,165776,241959,967911,17681,583140
ORISSA,Nabarangapur,470379,183395,286984,1220946,11198,739190
ORISSA,Koraput,568090,227247,340843,1379647,29000,770707
